taxonID hash,scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
f1f1a32768b381663234cafe4d2dac22,"Felis catus Linnaeus, 1758",Animalia,Mammalia,,Carnivora,Felidae,Felis,species,ICZN,Flanders,BE,present,introduced,established,escape_pet,pet,,,,2024,,,,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,
8237b409cab033b4e94b86cc7b488bdd,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Animalia,Mammalia,,Rodentia,Caviidae,Hydrochoerus,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2003,2003,Verbeylen (2003) Nog meer zoogdieren in Vlaanderen in : Verkem et al. Zoogdieren in Vlaanderen.,,South America,FALSE,FALSE,TRUE,,,,2018-05-02,Tim Adriaens,Frank Huysentruyt
e28aade2a945b4e369eb2406d2268dc3,"Leptailurus serval (Schreber, 1776)",Animalia,Mammalia,,Carnivora,Felidae,Leptailurus,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2020,2024,https://www.hln.be/gent/en-plots-sta-je-oog-in-oog-met-een-serval-grote-kat-loopt-van-wondelgem-tot-in-ledeberg~a49ec91f/ | https://www.nieuwsblad.be/cnt/dmf20240503_95216575,,Western Africa | Eastern Africa | Middle Africa | Southern Africa,TRUE,FALSE,FALSE,,,,2023-12-13,Tim Adriaens,Frank Huysentruyt
779c763537f9e7f6f44b6c841603c9b7,"Macropus rufogriseus (Desmarest, 1817)",Animalia,Mammalia,,Diprotodontia,Macropodidae,Macropus,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2017,2024,,,Australia,TRUE,FALSE,FALSE,,,,2024-02-02,Tim Adriaens,
779c763537f9e7f6f44b6c841603c9b7,"Macropus rufogriseus (Desmarest, 1817)",Animalia,Mammalia,,Diprotodontia,Macropodidae,Macropus,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet,pet,,,2023,,,,Australia,TRUE,FALSE,FALSE,,,,2024-02-02,Tim Adriaens,
275025010e3bea243fa9ce9532ec6d72,"Mephitis mephitis (Schreber, 1776)",Animalia,Mammalia,,Carnivora,Mephitidae,Mephitis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2014,2022,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pd,,North America,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Daan Dekeukeleire
b26fdc638376907d27c4ee9fbb486795,"Meriones unguiculatus (Milne-Edwards, 1867)",Animalia,Mammalia,,Rodentia,Muridae,Meriones,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2010,2020,https://waarnemingen.be/species/84751/observations/?date_after=2000-05-29&date_before=2024-05-28&country_division=&search=&user=&location=&sex=&month=&life_stage=&activity=&method=,,Central Asia | Eastern Asia,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Frank Huysentruyt
26674daaa2dbc0076155a4c1bc9771a3,"Muntiacus reevesi (Ogilby, 1839)",Animalia,Mammalia,,Artiodactyla,Cervidae,Muntiacus,species,ICZN,Flanders,BE,present,introduced,established,release_hunting,hunting,,,2004,2024,"D'hondt, B., Engels, P., Verbist, B., Vercammen, J., Huygens, W., Adriaens, T., & Casaer, J. (2023). Monitoring van een Vlaamse populatie van Chinese muntjak (Muntiacus reevesi) in het kader van bestrijding. Lutra (Leiden), 66(2), 105-121.",,Asia,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Daan Dekeukeleire
fcafd1dfa66065b5317cd7f38c31ad47,"Mustela putorius subsp. furo Linnaeus, 1758",Animalia,Mammalia,,Carnivora,Mustelidae,Mustela,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,1994,2024,,,,TRUE,FALSE,FALSE,,,,2024-02-02,Tim Adriaens,Daan Dekeukeleire
385364b6232734897633a95d3830a630,"Mustela vison Schreber, 1777",Animalia,Mammalia,,Carnivora,Mustelidae,Mustela,species,ICZN,Flanders,BE,present,introduced,reproducing,escape_fur_farm | unaided,fur,unaided,,1987,2024,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,,North America,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Daan Dekeukeleire
