taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,eventDate,source,occurrenceRemarks
alien-mammals-checklist:taxon:a98fcf96f26fcc2ffad9b12b41c1a45d,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,established,1936/2024,http://biodiversite.wallonie.be/fr/ovis-gmelini-musimon-x-ovis-sp.html?IDD=50333814&IDC=324,
alien-mammals-checklist:taxon:ae7eec3cf884d2e57367ee05dcba4684,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2007/2024,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:b151e5839b2b692e8d1a0dc3cf0ae6ca,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2024/2024,,
alien-mammals-checklist:taxon:b26fdc638376907d27c4ee9fbb486795,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2010/2020,https://waarnemingen.be/species/84751/observations/?date_after=2000-05-29&date_before=2024-05-28&country_division=&search=&user=&location=&sex=&month=&life_stage=&activity=&method=,
alien-mammals-checklist:taxon:c7652f8a4bd180288dd7bb0339fb3532,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2024/2024,,
alien-mammals-checklist:taxon:d40e2dd76238baec6aed6ea56d9a534b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2018/2018,"Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België.",
alien-mammals-checklist:taxon:e28aade2a945b4e369eb2406d2268dc3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2020/2024,https://www.hln.be/gent/en-plots-sta-je-oog-in-oog-met-een-serval-grote-kat-loopt-van-wondelgem-tot-in-ledeberg~a49ec91f/ - https://www.nieuwsblad.be/cnt/dmf20240503_95216575,
alien-mammals-checklist:taxon:e55a4d1859bbd682ddb51b627098defe,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2024/2024,,
alien-mammals-checklist:taxon:ea75f869bf4fef4a9b278a4cca5b17ca,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,2014/2015,unpubl. observation,
alien-mammals-checklist:taxon:f1f1a32768b381663234cafe4d2dac22,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2018/2018,,
alien-mammals-checklist:taxon:f32a507f1e44e09fec12f7c1c7b65dec,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,captive,2015/2015,,"Came along in container of wood, loaded in Charleston (US). Live animal brought to VOC Brasschaat-Kapellen, dead animal in freezer."
alien-mammals-checklist:taxon:f7271a35ec4e10840106f492b86e8bb8,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,2001/2023,"Lejeune, C. (2021). Le retour du castor en Communauté germanophone. Hautes Fagnes, 87(4), 23-26.",subject to eradication program
alien-mammals-checklist:taxon:f91b4c42b31377b277a8eb1aeef594b5,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2015/2017,unpubl. observation,
alien-mammals-checklist:taxon:fcafd1dfa66065b5317cd7f38c31ad47,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,1994/2023,,
