taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
alien-mammals-checklist:taxon:e28aade2a945b4e369eb2406d2268dc3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2020/2024,https://www.hln.be/gent/en-plots-sta-je-oog-in-oog-met-een-serval-grote-kat-loopt-van-wondelgem-tot-in-ledeberg~a49ec91f/ | https://www.nieuwsblad.be/cnt/dmf20240503_95216575,
alien-mammals-checklist:taxon:e55a4d1859bbd682ddb51b627098defe,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,hunting,/2024,,
alien-mammals-checklist:taxon:e55a4d1859bbd682ddb51b627098defe,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,farmedAnimals,/2024,,
alien-mammals-checklist:taxon:e55a4d1859bbd682ddb51b627098defe,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,pet,/2024,,
alien-mammals-checklist:taxon:ea75f869bf4fef4a9b278a4cca5b17ca,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,2014/2015,unpubl. observation,
alien-mammals-checklist:taxon:f1f1a32768b381663234cafe4d2dac22,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,pet,/2024,,
alien-mammals-checklist:taxon:f32a507f1e44e09fec12f7c1c7b65dec,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,captive,containerBulk,2015/2015,,"Came along in container of wood, loaded in Charleston (US). Live animal brought to VOC Brasschaat-Kapellen, dead animal in freezer."
alien-mammals-checklist:taxon:f32a507f1e44e09fec12f7c1c7b65dec,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,captive,transportStowaway,2015/2015,,"Came along in container of wood, loaded in Charleston (US). Live animal brought to VOC Brasschaat-Kapellen, dead animal in freezer."
alien-mammals-checklist:taxon:f7271a35ec4e10840106f492b86e8bb8,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,naturalDispersal,2001/2023,"Lejeune, C. (2021). Le retour du castor en Communauté germanophone. Hautes Fagnes, 87(4), 23-26.",subject to eradication program
alien-mammals-checklist:taxon:f91b4c42b31377b277a8eb1aeef594b5,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2015/2024,https://waarnemingen.be/species/87976/observations/?date_after=1003-02-17&date_before=2024-02-17&country_division=&search=&advanced=on&user=&location=&sex=&month=&is_validated=on&validation_status=&life_stage=&activity=&method=,
alien-mammals-checklist:taxon:fcafd1dfa66065b5317cd7f38c31ad47,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,1994/2024,,
